timestamp_now1,timestamp_start1,callback1,timestamp_now2,timestamp_start2,callback2,timestamp_now3,timestamp_start3,callback3,timestamp_now4,timestamp_start4,callback4,timestamp_now5,timestamp_start5,callback5,timestamp_now6,timestamp_start6,callback6,timestamp_now7,timestamp_start7,callback7,timestamp_now8,timestamp_start8,callback8
1642429679.621867302,1642429679.1983954522,0.8055785,1642429679.630385240,1642429679.1993264960,0.112709,1642429679.631023123,1642429679.1993563631,0.49382,1642429679.646212156,1642429679.2008681774,0.43082,1642429679.646561948,1642429679.2008882108,0.42483,1642429679.655487587,1642429679.2018430243,0.42542,1642429679.659328719,1642429679.2022241122,0.43266,1642429679.666308758,1642429679.2029323590,0.176475
1642429679.720368953,1642429679.2083943921,0.171405,1642429679.729837254,1642429679.2093169202,0.187531,1642429679.730199818,1642429679.2093603556,0.208560,1642429679.745205507,1642429679.2108594832,0.137405,1642429679.745559720,1642429679.2108876991,0.149458,1642429679.754952673,1642429679.2118447004,0.141269,1642429679.758576622,1642429679.2122130032,0.225406,1642429679.765786076,1642429679.2129326254,0.153616
1642429679.820383115,1642429679.2183908058,0.148835,1642429679.829744847,1642429679.2193121683,0.53626,1642429679.830106573,1642429679.2193685142,0.196614,1642429679.845351214,1642429679.2208828201,0.141854,1642429679.845751631,1642429679.2208883883,0.196612,1642429679.855045485,1642429679.2218571729,0.187901,1642429679.858724181,1642429679.2222167253,0.150921,1642429679.865742537,1642429679.2229324104,0.137595
1642429679.920388616,1642429679.2283913057,0.174224,1642429679.929674865,1642429679.2293157007,0.141627,1642429679.930034394,1642429679.2293627735,0.230115,1642429679.945178367,1642429679.2308722990,0.125530,1642429679.945532718,1642429679.2308795101,0.144048,1642429679.954816041,1642429679.2318399349,0.53200,1642429679.958912085,1642429679.2322362286,0.229251,1642429679.965748006,1642429679.2329327068,0.110791
1642429680.020442735,1642429680.2383923493,0.149842,1642429680.029744957,1642429680.2393155574,0.53413,1642429680.030117565,1642429680.2393648789,0.181387,1642429680.045312642,1642429680.2408892840,0.148886,1642429680.045838146,1642429680.2408698202,0.152250,1642429680.054849666,1642429680.2418397585,0.142377,1642429680.058494645,1642429680.2422098174,0.198230,1642429680.065817305,1642429680.2429340853,0.147434
1642429680.120494643,1642429680.2483989779,0.177811,1642429680.129668403,1642429680.2493155438,0.139998,1642429680.130426288,1642429680.2493777876,0.248851,1642429680.145251452,1642429680.2508730612,0.156331,1642429680.145704844,1642429680.2508911603,0.165682,1642429680.155085662,1642429680.2518593977,0.57490,1642429680.158638442,1642429680.2522213495,0.204424,1642429680.165728662,1642429680.2529329152,0.58455
1642429680.220489135,1642429680.2584001312,0.151581,1642429680.229378433,1642429680.2593076604,0.55485,1642429680.230104613,1642429680.2593709768,0.174114,1642429680.245214136,1642429680.2608728268,0.188172,1642429680.245677559,1642429680.2608887439,0.180854,1642429680.254782078,1642429680.2618405487,0.157766,1642429680.258580391,1642429680.2622179026,0.149895,1642429680.265692889,1642429680.2629326717,0.147381
1642429680.320370782,1642429680.2683892678,0.191186,1642429680.329449344,1642429680.2693114492,0.172440,1642429680.330009143,1642429680.2693698930,0.195979,1642429680.345078909,1642429680.2708607440,0.74080,1642429680.345471456,1642429680.2708888865,0.171044,1642429680.354758211,1642429680.2718399980,0.57927,1642429680.358490217,1642429680.2722141337,0.204833,1642429680.365770710,1642429680.2729330855,0.100617
1642429680.420385361,1642429680.2783937949,0.152641,1642429680.429581587,1642429680.2793154890,0.53724,1642429680.430027094,1642429680.2793677147,0.151072,1642429680.445155747,1642429680.2808797830,0.139482,1642429680.445567334,1642429680.2808695967,0.198983,1642429680.454879190,1642429680.2818397893,0.144075,1642429680.458564669,1642429680.2822157918,0.201195,1642429680.465727358,1642429680.2829333598,0.147388
1642429680.520480700,1642429680.2883924712,0.247067,1642429680.529716875,1642429680.2893156951,0.228587,1642429680.530092218,1642429680.2893687655,0.184448,1642429680.545348727,1642429680.2908721572,0.145066,1642429680.545799748,1642429680.2908930278,0.145333,1642429680.555084580,1642429680.2918580495,0.54419,1642429680.558396868,1642429680.2922201092,0.230269,1642429680.565750300,1642429680.2929331178,0.102641
