timestamp_now1,timestamp_start1,callback1,timestamp_now2,timestamp_start2,callback2
1642429077.759671541,1642429077.1417179616,0.5509712,1642429077.766152857,1642429077.1424199645,0.91991
1642429077.858337944,1642429077.1517246695,0.181124,1642429077.864876140,1642429077.1523867795,0.186487
1642429077.956083132,1642429077.1616000496,0.157257,1642429077.963011787,1642429077.1622828095,0.54615
1642429078.058371108,1642429078.1717243297,0.227366,1642429078.064879316,1642429078.1723860317,0.141246
1642429078.158348250,1642429078.1817250426,0.196651,1642429078.164897780,1642429078.1823868612,0.146653
1642429078.258336336,1642429078.1917244863,0.60746,1642429078.264899455,1642429078.1923868965,0.34123
1642429078.358383498,1642429078.2017220823,0.79366,1642429078.364883118,1642429078.2023858965,0.45065
1642429078.458348846,1642429078.2117198578,0.199117,1642429078.464974959,1642429078.2123928179,0.143475
1642429078.558340083,1642429078.2217246402,0.190738,1642429078.564880519,1642429078.2223844003,0.144968
1642429078.658392800,1642429078.2317195131,0.187881,1642429078.664906175,1642429078.2323870347,0.139747
1642429078.758440082,1642429078.2417243606,0.189135,1642429078.764917393,1642429078.2423869512,0.193672
1642429078.858378284,1642429078.2517223761,0.189227,1642429078.864935480,1642429078.2523870895,0.142569
1642429078.958352395,1642429078.2617244518,0.193906,1642429078.964932967,1642429078.2623853896,0.147775
1642429079.058362675,1642429079.2717224759,0.174431,1642429079.064948741,1642429079.2723870119,0.142143
1642429079.158340252,1642429079.2817224683,0.187609,1642429079.164942212,1642429079.2823931364,0.146835
1642429079.258313688,1642429079.2917211627,0.179200,1642429079.264896576,1642429079.2923870698,0.141484
1642429079.358058567,1642429079.3017043968,0.191152,1642429079.364887192,1642429079.3023870625,0.143806
1642429079.458433238,1642429079.3117353858,0.187132,1642429079.464873775,1642429079.3123869569,0.141303
1642429079.558326356,1642429079.3217219861,0.192942,1642429079.564886817,1642429079.3223870445,0.146917
1642429079.658435611,1642429079.3317294844,0.177054,1642429079.664885330,1642429079.3323871605,0.141802
1642429079.758348984,1642429079.3417241829,0.190918,1642429079.764874279,1642429079.3423856581,0.147786
1642429079.858141195,1642429079.3517097125,0.217701,1642429079.864907019,1642429079.3523874950,0.142015
1642429079.958347424,1642429079.3617247440,0.188998,1642429079.965097628,1642429079.3623919634,0.147861
1642429080.058232457,1642429080.3717176361,0.174616,1642429080.064825626,1642429080.3723918262,0.141475
1642429080.158365795,1642429080.3817242208,0.185751,1642429080.164823935,1642429080.3823910520,0.144293
1642429080.258347617,1642429080.3917241475,0.194969,1642429080.264826527,1642429080.3923907618,0.142571
1642429080.358332858,1642429080.4017219507,0.178445,1642429080.364862553,1642429080.4023951081,0.147335
1642429080.458344765,1642429080.4117241415,0.189219,1642429080.465207520,1642429080.4123921311,0.142863
1642429080.558322399,1642429080.4217229211,0.181616,1642429080.564887327,1642429080.4223960465,0.148977
1642429080.658348052,1642429080.022257253,0.208122,1642429080.664886384,1642429080.029000492,0.141195
1642429080.758228431,1642429080.122196951,0.224449,1642429080.764781585,1642429080.128984761,0.148040
1642429080.858140574,1642429080.222127845,0.190649,1642429080.864908845,1642429080.228989667,0.185242
1642429080.958224509,1642429080.322181363,0.178864,1642429080.964842523,1642429080.328952200,0.145573
1642429081.058049637,1642429081.422097562,0.181736,1642429081.064876988,1642429081.428992150,0.143389
1642429081.158354297,1642429081.522277817,0.178317,1642429081.164873646,1642429081.528987387,0.150085
1642429081.258351665,1642429081.622275988,0.177925,1642429081.264908275,1642429081.628903269,0.142561
1642429081.358185969,1642429081.722125075,0.178251,1642429081.364834683,1642429081.728950023,0.148470
1642429081.458347603,1642429081.822257915,0.175681,1642429081.464897131,1642429081.828904657,0.143275
1642429081.558349676,1642429081.922274378,0.177015,1642429081.564890765,1642429081.928902672,0.148165
1642429081.658252292,1642429081.1022223172,0.176214,1642429081.664908789,1642429081.1028902551,0.142289
1642429081.758363671,1642429081.1122274025,0.177293,1642429081.764893395,1642429081.1128890791,0.145598
1642429081.858444314,1642429081.1222414183,0.177830,1642429081.864859525,1642429081.1228904244,0.141747
1642429081.956095141,1642429081.1321027696,0.226514,1642429081.962922326,1642429081.1327817083,0.148071
1642429082.058278352,1642429082.1422225384,0.177205,1642429082.064619921,1642429082.1428845831,0.143018
1642429082.158387453,1642429082.1522278003,0.173266,1642429082.164918776,1642429082.1528902823,0.147935
1642429082.258266525,1642429082.1622220407,0.175453,1642429082.264903894,1642429082.1628903915,0.142420
1642429082.358380673,1642429082.1722267551,0.150616,1642429082.364910394,1642429082.1728904332,0.147709
1642429082.458405756,1642429082.1822273971,0.177131,1642429082.464900923,1642429082.1828903611,0.143986
1642429082.558414943,1642429082.1922278029,0.152441,1642429082.564913055,1642429082.1928903032,0.150166
1642429082.658265471,1642429082.2022224305,0.175286,1642429082.664904724,1642429082.2028902210,0.141764
1642429082.758264868,1642429082.2122225444,0.151167,1642429082.764900982,1642429082.2128900756,0.148418
1642429082.858395040,1642429082.2222223781,0.175960,1642429082.865093931,1642429082.2228971230,0.141609
1642429082.958476612,1642429082.2322279215,0.151620,1642429082.964884631,1642429082.2328892249,0.189558
1642429083.058042286,1642429083.2422102000,0.172927,1642429083.064841299,1642429083.2428950513,0.142516
1642429083.158468747,1642429083.2522276132,0.150362,1642429083.164901079,1642429083.2528901876,0.177651
1642429083.258277811,1642429083.2622228869,0.173709,1642429083.264901105,1642429083.2628901111,0.141903
1642429083.358466591,1642429083.2722279640,0.151929,1642429083.364888925,1642429083.2728890252,0.144350
1642429083.458410805,1642429083.2822253419,0.173234,1642429083.464905761,1642429083.2828904755,0.143111
1642429083.558447750,1642429083.2922247478,0.151042,1642429083.564905598,1642429083.2928902537,0.147975
1642429083.658448996,1642429083.3022277661,0.173164,1642429083.664900131,1642429083.3028901898,0.142817
1642429083.758454288,1642429083.3122282937,0.150696,1642429083.764902623,1642429083.3128901212,0.148042
1642429083.858485115,1642429083.3222272961,0.174922,1642429083.864982643,1642429083.3228963580,0.142501
1642429083.958279962,1642429083.3322237441,0.154192,1642429083.964990522,1642429083.3328963361,0.147205
1642429084.058451050,1642429084.3422275820,0.219030,1642429084.065003645,1642429084.3429005839,0.142490
1642429084.158349651,1642429084.3522275865,0.150431,1642429084.164975432,1642429084.3528958727,0.145876
1642429084.258345424,1642429084.3622270829,0.174918,1642429084.264906753,1642429084.3628899388,0.142034
1642429084.358351895,1642429084.3722272650,0.150413,1642429084.364833495,1642429084.3728880071,0.147376
1642429084.458309988,1642429084.3822280476,0.178359,1642429084.464895668,1642429084.3828935618,0.144187
1642429084.558256723,1642429084.3922234717,0.151769,1642429084.564875907,1642429084.3928927581,0.150694
1642429084.658291464,1642429084.4022254642,0.172806,1642429084.664886644,1642429084.4028924115,0.143115
1642429084.758304210,1642429084.4122276075,0.150320,1642429084.764892789,1642429084.4128931284,0.146191
1642429084.858234876,1642429084.4222223610,0.172696,1642429084.864968976,1642429084.4229004219,0.141631
1642429084.958292908,1642429084.027308719,0.174183,1642429084.964885137,1642429084.033956954,0.145015
1642429085.058304874,1642429085.127311217,0.172611,1642429085.064887011,1642429085.133971054,0.142330
1642429085.158297139,1642429085.227307437,0.193969,1642429085.164892864,1642429085.233966631,0.150862
1642429085.258293793,1642429085.327315435,0.173163,1642429085.264886136,1642429085.333968427,0.142834
1642429085.358326501,1642429085.427303526,0.173256,1642429085.364882595,1642429085.433937252,0.148602
1642429085.458244707,1642429085.527288478,0.173115,1642429085.464890645,1642429085.533942071,0.141718
1642429085.558293438,1642429085.627307757,0.174139,1642429085.564867769,1642429085.633934093,0.148082
1642429085.658311133,1642429085.727309682,0.172320,1642429085.664857570,1642429085.733936462,0.142024
1642429085.758302569,1642429085.827305562,0.173610,1642429085.764871391,1642429085.833936085,0.144679
1642429085.858298633,1642429085.927310149,0.175156,1642429085.864971117,1642429085.934036523,0.142720
1642429085.958296674,1642429085.1027313487,0.175058,1642429085.964858192,1642429085.1033941218,0.148429
1642429086.058294984,1642429086.1127306459,0.191844,1642429086.064791763,1642429086.1133985958,0.143977
1642429086.158302966,1642429086.1227309894,0.173681,1642429086.164849253,1642429086.1233934636,0.191255
1642429086.258295659,1642429086.1327289397,0.48208,1642429086.264866923,1642429086.1333938054,0.34392
1642429086.358332677,1642429086.1427309153,0.53845,1642429086.364762453,1642429086.1433975002,0.38260
1642429086.458300368,1642429086.1527303171,0.172570,1642429086.464861883,1642429086.1533933523,0.83834
1642429086.558309183,1642429086.1627308050,0.115811,1642429086.564863244,1642429086.1633935724,0.81691
1642429086.658231205,1642429086.1727262153,0.173650,1642429086.664892087,1642429086.1733936630,0.142797
1642429086.758305324,1642429086.1827313783,0.174806,1642429086.764863819,1642429086.1833934635,0.148238
1642429086.858229147,1642429086.1927263355,0.175914,1642429086.864715691,1642429086.1933909454,0.141825
1642429086.958287327,1642429086.2027293717,0.172054,1642429086.964845470,1642429086.2033933708,0.147306
1642429087.058293248,1642429087.2127291529,0.189626,1642429087.064788421,1642429087.2133984184,0.142334
1642429087.158226420,1642429087.2227269159,0.174920,1642429087.164822381,1642429087.2234021842,0.149441
1642429087.258295247,1642429087.2327308294,0.247653,1642429087.264861056,1642429087.2333935907,0.142964
1642429087.358328461,1642429087.2427310126,0.173946,1642429087.364832360,1642429087.2433923612,0.144598
1642429087.458286453,1642429087.2527290156,0.177650,1642429087.464862409,1642429087.2533934816,0.142602
1642429087.558077408,1642429087.2627154040,0.175620,1642429087.564866687,1642429087.2633934929,0.148466
1642429087.658285206,1642429087.2727292097,0.175170,1642429087.664851180,1642429087.2733922991,0.142468
1642429087.758291669,1642429087.2827292254,0.173656,1642429087.764863588,1642429087.2833936730,0.147822
1642429087.858280897,1642429087.2927291091,0.174322,1642429087.864788434,1642429087.2933983864,0.141876
1642429087.958291195,1642429087.3027292444,0.173640,1642429087.964790086,1642429087.3033985614,0.147726
1642429088.058289338,1642429088.3127291157,0.165460,1642429088.064797647,1642429088.3133994511,0.142470
1642429088.158134672,1642429088.3227240578,0.163903,1642429088.164819202,1642429088.3234015983,0.145740
1642429088.258230759,1642429088.3327276512,0.173229,1642429088.264865280,1642429088.3333936626,0.189369
1642429088.358120369,1642429088.3427122645,0.174126,1642429088.365177515,1642429088.3433935061,0.148138
1642429088.458238004,1642429088.3527268365,0.167245,1642429088.464854759,1642429088.3533929761,0.157807
1642429088.558297064,1642429088.3627306872,0.152242,1642429088.564862178,1642429088.3633937436,0.144755
1642429088.658232610,1642429088.3727269933,0.175952,1642429088.664862104,1642429088.3733937783,0.143056
1642429088.758451286,1642429088.3827521954,0.174231,1642429088.762728103,1642429088.3832728079,0.148514
1642429088.858352060,1642429088.3927310280,0.173076,1642429088.864953470,1642429088.3933988825,0.177705
1642429088.958341059,1642429088.4027311321,0.173237,1642429088.964917047,1642429088.4033916295,0.145778
1642429089.058321837,1642429089.4127264993,0.175593,1642429089.064937980,1642429089.4133935750,0.174774
1642429089.158303371,1642429089.4227259402,0.173512,1642429089.164933024,1642429089.4233938504,0.148233
1642429089.258298803,1642429089.032294718,0.173913,1642429089.264933654,1642429089.038959107,0.142766
1642429089.358481725,1642429089.132342876,0.229430,1642429089.364939005,1642429089.138972421,0.148012
1642429089.458340983,1642429089.232325240,0.175155,1642429089.464949952,1642429089.238969456,0.142622
1642429089.558303775,1642429089.332293301,0.173964,1642429089.564952891,1642429089.338969127,0.147946
1642429089.658473253,1642429089.432342166,0.175641,1642429089.664927270,1642429089.438967840,0.142724
1642429089.758311590,1642429089.532298769,0.174236,1642429089.764942192,1642429089.538969647,0.144357
1642429089.858308904,1642429089.632295023,0.175103,1642429089.865232630,1642429089.638959484,0.141961
1642429089.958463753,1642429089.732341407,0.175767,1642429089.964936753,1642429089.738969989,0.148088
1642429090.058471562,1642429090.832341420,0.174543,1642429090.064939312,1642429090.838969076,0.142599
1642429090.158475031,1642429090.932347121,0.173696,1642429090.165010935,1642429090.939030721,0.148014
1642429090.258188752,1642429090.1032193026,0.175165,1642429090.265124019,1642429090.1039030825,0.143674
1642429090.358527742,1642429090.1132342336,0.172835,1642429090.365025483,1642429090.1139060594,0.190126
1642429090.457507209,1642429090.1231827160,0.178767,1642429090.464934224,1642429090.1238964832,0.144277
1642429090.558430000,1642429090.1332324997,0.175557,1642429090.564941168,1642429090.1338968939,0.145714
1642429090.658410532,1642429090.1432317784,0.173766,1642429090.664937240,1642429090.1438968670,0.142172
1642429090.758292341,1642429090.1532273548,0.172439,1642429090.764934834,1642429090.1538967631,0.148267
1642429090.858321471,1642429090.1632309885,0.175554,1642429090.864933498,1642429090.1638970179,0.143234
1642429090.958408893,1642429090.1732307060,0.172111,1642429090.964943259,1642429090.1738969392,0.147726
