timestamp_now1,timestamp_start1,callback1,timestamp_now2,timestamp_start2,callback2
1642218724.956208240,1642218724.3211411957,0.1173114,1642218725.008249395,1642218724.3209737708,0.27844
1642218725.049962302,1642218725.3311698355,0.34061,1642218725.146558047,1642218725.3349008887,0.27702
1642218725.154322687,1642218725.3412512812,0.56795,1642218725.252518804,1642218725.3512479248,0.42485
1642218725.287341638,1642218725.3485318958,0.41683,1642218725.343666408,1642218725.3611405004,0.31893
1642218725.422740471,1642218725.3623999558,0.47139,1642218725.446175356,1642218725.3713306862,0.46681
1642218725.561183470,1642218725.3765410728,0.35085,1642218725.564665545,1642218725.3813336747,0.31408
1642218725.643622167,1642218725.3911189153,0.38660,1642218725.701344768,1642218725.3901076374,0.57211
1642218725.743986872,1642218725.4011933683,0.54771,1642218725.836258437,1642218725.4038945962,0.41010
1642218725.843014142,1642218725.4111384928,0.66405,1642218725.952309522,1642218725.4212733686,0.33058
1642218725.978509674,1642218725.4174575173,0.63494,1642218726.045344116,1642218726.016242573,0.34453
1642218726.123656098,1642218726.025356656,0.53718,1642218726.145708060,1642218726.117872371,0.42252
1642218726.267639630,1642218726.171774145,0.35758,1642218726.271008011,1642218726.218241706,0.58652
1642218726.343600963,1642218726.316260410,0.33181,1642218726.411601683,1642218726.312171998,0.32062
1642218726.446021542,1642218726.418149512,0.39132,1642218726.555276848,1642218726.459845288,0.32753
1642218726.558677156,1642218726.516805057,0.20163,1642218726.643413536,1642218726.616213830,0.33939
1642218726.699891957,1642218726.602081093,0.40436,1642218726.744490663,1642218726.717719788,0.32772
1642218726.844345445,1642218726.747221733,0.41650,1642218726.847854564,1642218726.817946258,0.50856
1642218726.951912506,1642218726.917879107,0.25939,1642218726.985725267,1642218726.889566553,0.31511
1642218727.047652710,1642218727.1016129616,0.34561,1642218727.120690868,1642218727.1028691442,0.76613
1642218727.146248432,1642218727.1117518370,0.32596,1642218727.258590883,1642218727.1167504684,0.52364
1642218727.261936856,1642218727.1220202467,0.52737,1642218727.344609373,1642218727.1316406316,0.39968
1642218727.394374964,1642218727.1301786847,0.75008,1642218727.444340195,1642218727.1416323409,0.38746
1642218727.530458591,1642218727.1439744085,0.70957,1642218727.546441608,1642218727.1518952435,0.31156
1642218727.672817421,1642218727.1575292875,0.40280,1642218727.676219785,1642218727.1616867044,0.60965
1642218727.744967799,1642218727.1717339365,0.33183,1642218727.817684858,1642218727.1718173692,0.30623
1642218727.844462061,1642218727.1817087514,0.80875,1642218727.960900385,1642218727.1864802256,0.32725
1642218727.964460988,1642218727.1916717124,0.65003,1642218728.043393011,1642218728.2016286092,0.38069
1642218728.106025351,1642218728.2007670728,0.67855,1642218728.145414647,1642218728.2117976176,0.32230
1642218728.249342770,1642218728.2155091681,0.57549,1642218728.252774252,1642218728.2216802459,0.41354
1642218728.344122142,1642218728.2316650266,0.33093,1642218728.394983512,1642218728.2296702841,0.31632
1642218728.443526837,1642218728.2416644519,0.67295,1642218728.536934021,1642218728.2442189820,0.32743
1642218728.543362984,1642218728.2516782205,0.19866,1642218728.650740410,1642218728.2617015805,0.42346
1642218728.684916671,1642218728.2584547290,0.59970,1642218728.743054541,1642218728.2716092181,0.30457
1642218728.827426329,1642218728.2728572812,0.40439,1642218728.845560210,1642218728.2816914065,0.62520
1642218728.967471072,1642218728.2875407829,0.35987,1642218728.970966707,1642218728.2919797624,0.32161
1642218729.046154232,1642218729.3016684086,0.58463,1642218729.110666356,1642218729.3013605528,0.44982
1642218729.146630164,1642218729.3116840897,0.60231,1642218729.250971492,1642218729.3157979708,0.34137
1642218729.254831005,1642218729.3224483199,0.47274,1642218729.345557705,1642218729.3317649698,0.43608
1642218729.409050009,1642218729.3301589311,0.48325,1642218729.446946802,1642218729.3418880940,0.34609
1642218729.549032839,1642218729.3459264282,0.57488,1642218729.552533138,1642218729.3517105517,0.32487
1642218729.645611046,1642218729.3616386811,0.34220,1642218729.690650169,1642218729.3595741845,0.43941
1642218729.744535309,1642218729.3716185571,0.33152,1642218729.826100410,1642218729.3734731978,0.30878
1642218729.844461758,1642218729.3816623038,0.81778,1642218729.983181532,1642218729.3874075794,0.32116
1642218729.988774447,1642218729.3918197599,0.22407,1642218730.053193551,1642218730.4021463470,0.38308
1642218730.145895097,1642218730.4034375708,0.74548,1642218730.150887317,1642218730.4119080592,0.31790
1642218730.254045543,1642218730.4219047141,0.59159,1642218730.290622045,1642218730.4187178431,0.32681
1642218730.343742166,1642218730.021139373,0.77135,1642218730.419167812,1642218730.032143857,0.31321
1642218730.445397599,1642218730.122962700,0.40792,1642218730.561130087,1642218730.173433267,0.48659
1642218730.564859791,1642218730.227664400,0.34324,1642218730.647123654,1642218730.321687491,0.32431
1642218730.724439118,1642218730.327843560,0.68061,1642218730.745771616,1642218730.421551741,0.36387
1642218730.861892048,1642218730.469789356,0.48926,1642218730.866551975,1642218730.523268379,0.34743
1642218730.943808707,1642218730.621302091,0.55369,1642218731.003327932,1642218730.605827017,0.31821
1642218731.050211242,1642218731.726680406,0.40911,1642218731.148229861,1642218731.760753993,0.56853
1642218731.151743243,1642218731.821630878,0.59308,1642218731.250166260,1642218731.921604875,0.31690
1642218731.288942398,1642218731.897545668,0.37439,1642218731.344342586,1642218731.1022198845,0.31844
1642218731.426212013,1642218731.1039057877,0.20625,1642218731.444371474,1642218731.1121577211,0.33567
1642218731.567230529,1642218731.1179881860,0.41592,1642218731.570754143,1642218731.1223782062,0.30904
1642218731.643953153,1642218731.1321147628,0.37816,1642218731.708492728,1642218731.1316781444,0.58583
1642218731.745918002,1642218731.1422466322,0.33880,1642218731.848184471,1642218731.1461113959,0.31191
1642218731.851778416,1642218731.1521996787,0.37472,1642218731.951606175,1642218731.1621694772,0.81061
1642218731.991869550,1642218731.1599387484,0.55993,1642218732.045018058,1642218732.1721962250,0.32641
1642218732.129426880,1642218732.1740816226,0.60566,1642218732.147980978,1642218732.1824161498,0.32536
1642218732.267293060,1642218732.1880700850,0.48215,1642218732.270810858,1642218732.1922607804,0.48553
1642218732.344461839,1642218732.2021284729,0.25981,1642218732.408461658,1642218732.2017862198,0.39689
1642218732.445319221,1642218732.2121712189,0.43958,1642218732.547929897,1642218732.2161536926,0.49774
1642218732.551456027,1642218732.2221657286,0.54175,1642218732.649918528,1642218732.2321796437,0.34920
1642218732.689841260,1642218732.2299596969,0.70320,1642218732.744163921,1642218732.2421895714,0.32856
1642218732.830966683,1642218732.2444600821,0.82691,1642218732.843483650,1642218732.2521551107,0.40583
1642218732.952624198,1642218732.2624621373,0.50848,1642218732.980175664,1642218732.2586550411,0.52068
1642218733.046509973,1642218733.2721262998,0.58543,1642218733.122262174,1642218733.2731016706,0.69394
1642218733.145153889,1642218733.2822820714,0.33769,1642218733.263923365,1642218733.2877389624,0.32759
1642218733.267489278,1642218733.2921956401,0.48689,1642218733.343747261,1642218733.3021193525,0.44268
1642218733.405984198,1642218733.3016416621,0.50956,1642218733.444591695,1642218733.3122101619,0.39860
1642218733.547381965,1642218733.3160791474,0.109652,1642218733.551023369,1642218733.3221643198,0.32432
1642218733.645575638,1642218733.3321673527,0.79276,1642218733.689979534,1642218733.3300878283,0.60401
1642218733.744086615,1642218733.3421808210,0.70717,1642218733.829597505,1642218733.3443567114,0.33157
1642218733.843632643,1642218733.3521411448,0.76695,1642218733.950061838,1642218733.3622645704,0.34116
1642218733.977742742,1642218733.3584663211,0.32441,1642218734.045388906,1642218734.3721225471,0.37589
1642218734.119664798,1642218734.3730612677,0.62140,1642218734.145398894,1642218734.3822691304,0.32336
1642218734.261378350,1642218734.3876348717,0.47029,1642218734.264932859,1642218734.3921948417,0.59005
1642218734.343539259,1642218734.4021191561,0.31110,1642218734.406243014,1642218734.4016122382,0.26667
1642218734.444189160,1642218734.4121720944,0.59450,1642218734.547917313,1642218734.4160543252,0.49250
1642218734.551485078,1642218734.4221834990,0.54742,1642218734.646945381,1642218734.026475103,0.38548
1642218734.691517710,1642218734.006816131,0.73709,1642218734.744058294,1642218734.126750800,0.30498
1642218734.831354705,1642218734.150121215,0.58109,1642218734.843404558,1642218734.226540158,0.61222
1642218734.950713739,1642218734.327307903,0.51101,1642218734.978913141,1642218734.291990076,0.33709
1642218735.045169762,1642218735.426117736,0.41843,1642218735.121678756,1642218735.436081754,0.48135
1642218735.145665553,1642218735.527874211,0.42288,1642218735.262574711,1642218735.582033444,0.38595
1642218735.266097940,1642218735.626956566,0.74569,1642218735.343419837,1642218735.726035389,0.49592
1642218735.406341026,1642218735.722000888,0.90651,1642218735.444676807,1642218735.827313692,0.44391
1642218735.547511682,1642218735.866521657,0.56193,1642218735.551165129,1642218735.926710477,0.32677
1642218735.645045616,1642218735.1026632275,0.76983,1642218735.699293359,1642218735.1006690016,0.57254
1642218735.744955683,1642218735.1127220139,0.60196,1642218735.847512657,1642218735.1157234807,0.38383
1642218735.852123471,1642218735.1227876256,0.93049,1642218735.946713961,1642218735.1326686108,0.32294
1642218735.995172679,1642218735.1305366731,0.58238,1642218736.044062020,1642218736.1426927431,0.38046
1642218736.130012147,1642218736.1448135525,0.92925,1642218736.143922604,1642218736.1526761256,0.30115
1642218736.268965416,1642218736.1586742702,0.64801,1642218736.272508161,1642218736.1627511265,0.65555
1642218736.343635783,1642218736.1726227665,0.38903,1642218736.408931570,1642218736.1724507776,0.31420
1642218736.446011040,1642218736.1828353264,0.61868,1642218736.549018628,1642218736.1867175747,0.33101
1642218736.552629916,1642218736.1927177819,0.56156,1642218736.647454127,1642218736.2026851621,0.39292
1642218736.690689344,1642218736.2006542847,0.63137,,,0.51069
,,0.53128,,,0.54183
,,0.35533,,,0.32127
,,0.47100,,,0.39056
,,0.19688,,,0.38548
,,0.46386,,,0.35231
,,0.48491,,,0.65845
,,0.29538,,,0.31694
,,0.50416,,,0.67874
,,0.52602,,,0.41752
,,0.66438,,,0.31850
,,0.81854,,,0.39223
,,0.105791,,,0.37014
,,0.46805,,,0.44605
,,0.31475,,,0.27044
,,0.45470,,,0.33176
,,0.62911,,,0.46803
,,0.63638,,,0.35614
,,0.45534,,,0.47318
,,0.32173,,,0.27851
,,0.40799,,,0.42314
,,0.48784,,,0.36893
,,0.72930,,,0.38073
,,0.52319,,,0.36997
,,0.99817,,,0.32431
,,0.39176,,,0.55470
,,0.32166,,,0.29461
,,0.92399,,,0.32191
,,0.66973,,,0.37780
,,0.62009,,,0.28579
,,0.44913,,,0.54883
,,0.35039,,,0.32275
,,0.37728,,,0.19769
,,0.39595,,,0.34164
,,0.58596,,,0.31735
,,0.42678,,,0.37320
,,0.35409,,,0.30722
,,0.36267,,,0.62351
,,0.33941,,,0.40776
,,0.75938,,,0.41114
,,0.62089,,,0.37563
,,0.69739,,,0.32513
,,0.33898,,,0.51771
,,0.33166,,,0.31508
,,0.64772,,,0.31721
,,0.60602,,,0.39348
,,0.58563,,,0.30582
,,0.35346,,,0.63564
,,0.46747,,,0.31397
,,0.63614,,,0.53068
,,0.57082,,,0.41837
,,0.95053,,,0.31960
,,0.57905,,,0.41713
,,0.61872,,,0.32451
,,0.37214,,,0.77700
,,0.43118,,,0.34785
,,0.74011,,,0.36370
,,0.63663,,,0.38324
,,0.55406,,,0.39036
,,0.34811,,,0.53523
,,0.32864,,,0.31610
,,0.67811,,,0.32698
,,0.45048,,,0.38354
,,0.80328,,,0.31357
,,0.39864,,,0.68453
,,0.33255,,,0.31693
,,0.54903,,,0.56636
,,0.54929,,,0.47059
,,0.63865,,,0.33894
,,0.52426,,,0.35245
,,0.57141,,,0.33131
,,0.37172,,,0.75213
,,0.36491,,,0.35089
,,0.76016,,,0.39255
,,0.60180,,,0.33685
,,0.53081,,,0.30509
,,0.32492,,,0.59357
,,0.33757,,,0.28464
,,0.94384,,,0.34529
,,0.47193,,,0.38351
,,0.90522,,,0.30763
,,0.36065,,,0.65531
,,0.34457,,,0.31956
,,0.87949,,,0.9156
,,0.53841,,,0.31848
,,0.53991,,,0.30218
,,0.46705,,,0.40992
,,0.26334,,,0.31538
,,0.63085,,,0.35612
,,0.48563,,,0.39013
,,0.76177,,,0.42667
,,0.69373,,,0.33855
,,0.64309,,,0.33284
,,0.42834,,,0.59741
,,0.33664,,,0.32325
,,0.67212,,,0.33744
,,0.61731,,,0.33621
,,0.53572,,,0.30697
,,0.37954,,,0.47422
,,0.33713,,,0.33489
,,0.36396,,,0.49932
,,0.51017,,,0.39736
